,gene,logFC,SE,z,PValue,FDR
4796,XLOC_017235,-0.8499189561109202,0.18961083140495036,-4.482438844940007,7.379479395248334e-06,0.0005071315078443177
9349,XLOC_042124,0.3776117251569932,0.08446462421842398,4.470649442309672,7.798243085264824e-06,0.0005312928017155945
9620,XLOC_043103,1.467095052569722,0.3282322555832254,4.469685802094276,7.83345848149619e-06,0.0005312928017155945
2205,XLOC_007148,0.309710758574602,0.06933039090903788,4.467171676284726,7.926052232392832e-06,0.0005340821039970157
2415,XLOC_007938,0.9200374787073311,0.20603096443160124,4.465530126724072,7.98707315475561e-06,0.000534721665334832
5265,XLOC_019859,-0.4042239776454518,0.09055166561227604,-4.464014824158589,8.043799543946208e-06,0.000535067358125191
6964,XLOC_033060,0.49250386003749447,0.11044609839212523,4.459223704661077,8.225703376949258e-06,0.0005382333580793624
341,XLOC_001003,0.6971696335198074,0.15635085424450806,4.459007511590209,8.234003578642107e-06,0.0005382333580793624
7436,XLOC_034664,0.48100732943287056,0.10788136112826277,4.458669453206001,8.246998548194914e-06,0.0005382333580793624
3361,XLOC_011191,0.41228454932939634,0.09264917915132688,4.449953611094586,8.588883926532473e-06,0.0005570428031601717
8296,XLOC_038001,0.49485883396450464,0.11143050730159543,4.4409636637938865,8.955691769701147e-06,0.0005772249285353341
2778,XLOC_009196,0.6480510303365656,0.14607298832656984,4.436487798057109,9.143851560532843e-06,0.0005857144916274648
7131,XLOC_033640,1.064384461904448,0.2400550690578857,4.43391787593449,9.253588696908317e-06,0.0005891073000479607
4650,XLOC_016420,0.296041689467692,0.06687095103084045,4.427059656010567,9.552631968382333e-06,0.0006044369630238017
9161,XLOC_041403,1.8357703908146525,0.414904459094719,4.424561728789621,9.663826941134413e-06,0.0006077668616251624
505,XLOC_001548,0.22425742038584143,0.05072863087878801,4.420726845983416,9.836945765888028e-06,0.0006149276277868679
2042,XLOC_006669,-0.18904254620452768,0.04278342209093345,-4.41859339355159,9.934534929688007e-06,0.0006173093950022303
10334,XLOC_045734,0.2860717657862195,0.06477613251919305,4.416314384028052,1.003980348044222e-05,0.0006201371471223151
9513,XLOC_042672,0.40589350686605424,0.09205233519140081,4.409377622219966,1.0366812053036056e-05,0.0006365467968896754
8593,XLOC_038998,0.2535571339035216,0.05757740100338926,4.403761362701941,1.0638997041914673e-05,0.0006494168959055799
4248,XLOC_014524,0.3025992667976427,0.06901639722613995,4.384454694239434,1.1627667827597533e-05,0.0007056158423799976
1541,XLOC_004963,0.6273582946429481,0.14337932786540683,4.375514266825567,1.2114651764517724e-05,0.0007308938451186071
1942,XLOC_006391,0.2067124742580644,0.04729866668922421,4.370365778305513,1.2403858037451899e-05,0.0007440163864429962
9672,XLOC_043290,0.34219130929496766,0.07845472764472015,4.3616403952680916,1.2909091887572668e-05,0.0007656298911633309
8424,XLOC_038447,0.1746626602950434,0.04004559021837812,4.361595355258005,1.2911750115985633e-05,0.0007656298911633309
2502,XLOC_008235,0.5247533577336152,0.1204000395157129,4.35841516202436,1.3100768792392325e-05,0.0007724243054469042
7159,XLOC_033751,1.748953806895604,0.4020216015934041,4.350397590486836,1.3589090996046522e-05,0.0007966892500902529
3121,XLOC_010331,0.7891260883389237,0.18162668133159562,4.344769626100348,1.3942190192204565e-05,0.0008127983574410493
3853,XLOC_012987,0.24920092404479294,0.0575119764926439,4.333026601453475,1.4707333099484322e-05,0.0008526145004097698
8655,XLOC_039284,0.5774978164998968,0.13349047126538247,4.3261351242952495,1.5174835531008204e-05,0.000874829268362623
1887,XLOC_006229,0.4793835270133262,0.11090447757792554,4.3224902860796925,1.5427787796185176e-05,0.0008844980881823954
660,XLOC_002203,0.2689961203789569,0.06225233387208214,4.321060812462032,1.5528086727322922e-05,0.0008853569009309338
742,XLOC_002361,0.5066996773889549,0.11730581385891131,4.319476253737808,1.56399935870182e-05,0.0008868645543851796
2840,XLOC_009404,-0.17180287933894184,0.039807313937285774,-4.315862145574751,1.589811763325211e-05,0.0008966019928274845
7012,XLOC_033203,0.1891879751296825,0.04389754384291449,4.309762200060296,1.6343018689790447e-05,0.0009167108375348944
8582,XLOC_039014,0.20682686035971934,0.048377286989595404,4.275288533732824,1.908899132080916e-05,0.0010649809835270789
9821,XLOC_043836,1.3985944047995833,0.3274565374784184,4.271084082087566,1.945250436700576e-05,0.0010794579562375336
2793,XLOC_009235,0.5756380286459838,0.13493856377382682,4.265926748789338,1.990740940611908e-05,0.0010988254649324345
3252,XLOC_010766,0.3824334813353482,0.08969816904385655,4.263559506419392,2.011958876874257e-05,0.0011046612309695326
6559,XLOC_031400,0.2694399926981711,0.06327088994277864,4.25851434904502,2.05790012224299e-05,0.0011239383983429215
2690,XLOC_008880,0.27640880342663743,0.06492574501685691,4.257306610110864,2.069045047823311e-05,0.0011241089246734292
6496,XLOC_031146,0.2632465004256398,0.06222105861279006,4.230826448387159,2.328342681640033e-05,0.001251882217267796
1305,XLOC_004222,0.7829606165225719,0.18506096239536696,4.230825379854252,2.328353743207908e-05,0.001251882217267796
5702,XLOC_025016,-0.5883607827389303,0.13922020915787417,-4.226116210411203,2.377592380706895e-05,0.001271766811061621
5835,XLOC_026781,-1.0461990613980072,0.2485180122019163,-4.209751446699927,2.5565177958636827e-05,0.0013604607778296119
4284,XLOC_014665,0.3826491035923037,0.0909749570497592,4.206092709480608,2.5982368262489415e-05,0.0013696857204602362
6151,XLOC_029934,0.9216897323894305,0.21914643021618702,4.205816775022014,2.6014093093947897e-05,0.0013696857204602362
6382,XLOC_030775,-0.706704012777778,0.16807188427693168,-4.2047723556983705,2.6134506374783346e-05,0.0013696857204602362
6286,XLOC_030379,0.36662484842881227,0.08726807037558804,4.201133895259934,2.6558145319008243e-05,0.0013848938390721034
6057,TRINITY_DN61666_c0_g1_i1.mrna1,0.1967809496053274,0.046881810417383936,4.197383758293608,2.7001617010040965e-05,0.0014009788985659755
8668,XLOC_039369,0.5375754330169904,0.12811959401565848,4.195887734012716,2.7180486435232186e-05,0.0014032433220816137
1750,XLOC_005722,0.8369925228318099,0.19971872445222233,4.190856541505898,2.779033385165945e-05,0.0014276252196963868
10166,XLOC_044991,0.2385937570784079,0.057457383053291004,4.152534355021272,3.288133716235574e-05,0.0016800526859296228
6067,XLOC_029559,0.40044239355644573,0.09645689193630687,4.151516657004342,3.302792212871187e-05,0.0016800526859296228
209,XLOC_000589,0.2269599160332675,0.05487090173355951,4.136252710686854,3.53023405341709e-05,0.0017869872571858118
9936,XLOC_044075,1.9045239366943674,0.4611090769627267,4.130311095238573,3.6227267035801766e-05,0.0018249046117986161
2713,XLOC_009008,0.31734977336541936,0.07685788407604982,4.129046449566659,3.6427081423720456e-05,0.001826105429632595
5064,XLOC_018777,0.2593727528622687,0.06283458443766059,4.1278661295133965,3.6614516045846204e-05,0.00182667708176801
3585,XLOC_012076,0.15696527969019264,0.038059394809331404,4.124219012849565,3.719948064846948e-05,0.0018469809123883626
7423,XLOC_034636,0.5001526634743277,0.12146987006714177,4.117503897862665,3.829980537235031e-05,0.0018862039730193833
5377,XLOC_020988,0.43230970245549477,0.1050013087408634,4.117183944082143,3.835299588581381e-05,0.0018862039730193833
9710,XLOC_043396,0.22549923700698377,0.05505306714234439,4.0960340397372645,4.202881597217336e-05,0.0020545331002214777
4083,XLOC_013837,0.9501856762883734,0.2320215260237725,4.095247939154659,4.217168260067213e-05,0.0020545331002214777
257,XLOC_000729,-0.3421935962518979,0.08365141011377725,-4.090709239527083,4.3005601708787314e-05,0.0020853697613648875
3599,XLOC_012113,-0.2977049257710206,0.07284577890429966,-4.086783479412405,4.3739496656040515e-05,0.0021110918920917788
3536,XLOC_011865,0.6376093466843815,0.15609549189538252,4.0847390205971905,4.412638361663841e-05,0.002119905012916004
4473,XLOC_015558,0.5097442790759503,0.12496029632675919,4.07924992225545,4.5181243728481496e-05,0.0021605795676057716
9715,XLOC_043400,0.35125976300401746,0.08613818112529344,4.077863711715573,4.545139481882056e-05,0.002163528091903215
8333,XLOC_038134,-0.5937898644088246,0.14574193645090874,-4.0742553507159895,4.616181079308169e-05,0.0021873110073050623
8088,XLOC_037206,0.35279591324738024,0.08683218974425827,4.062962298733329,4.8453857914477725e-05,0.0022809696273865215
7202,XLOC_033809,0.39387225418252075,0.09695639161784672,4.0623650242159055,4.857803677868567e-05,0.0022809696273865215
8586,XLOC_038989,0.8928855638469182,0.22071290647671335,4.0454614915830645,5.222014955953048e-05,0.002440939153059675
5436,XLOC_021512,1.683741390615991,0.41676700505112546,4.040006454948236,5.3449730357413765e-05,0.0024872100982909536
4334,XLOC_014841,0.8223130793579304,0.2039746550259571,4.031447334735218,5.543441932364318e-05,0.0025680489701850238
9117,TRINITY_DN262_c1_g1_i7.mrna1,1.0110362277144123,0.2513597055056141,4.022268508314396,5.7640294498027476e-05,0.0026469858238634017
6363,XLOC_030683,-0.5860542024385618,0.14572695071266406,-4.021591061725497,5.780635220043049e-05,0.0026469858238634017
9211,XLOC_041612,0.4761407346353622,0.11841186843506071,4.021055836108918,5.793786857144118e-05,0.0026469858238634017
4021,XLOC_013577,1.5022496347683953,0.373679090694145,4.020159736467517,5.815869401954857e-05,0.0026469858238634017
9474,XLOC_042544,0.5255449272587088,0.13095649139185114,4.013126204535832,5.991985586742959e-05,0.0027007838179832176
6129,XLOC_029846,0.6327274070448753,0.15767638851815022,4.012822801126255,5.999695138251864e-05,0.0027007838179832176
10173,XLOC_045023,0.6290762581481747,0.15678564220120286,4.01233333177844,6.012152471370563e-05,0.0027007838179832176
5909,XLOC_028476,-0.36623517137751144,0.09131443277013215,-4.01070411617672,6.053793802805487e-05,0.0027068345045826764
